"Famille";"Catégories";"Nom";"Description";"Prix";"Poids";"NT";"Fabricant";"Compétences / Attributs";"Bonus";"Niv Max";"Nation";"Dommage";"Choc";"Portée";"FOR";"Init";"Mode de tir";"Mun.(Coût)";"CAL.";"DIS (M.Noir)";"Compétence associée";"Protection";"Choc*";"Localisations";"Catégorie de malus";"Contenance";"Etanchéité";"Armes eligible";"Effets Munitions"
"Armes";"Armes à supercavitation";"Canon Manta V";"Mini-canon tirant des obus supercavitants. Pénétration : 64 (H)/6 (V-)/3 (V+).";38000;"32 kg";"III";"Gladius";;;;"Culte du Trident";"5D10+4/1D6-1 (V-)";;"50/250/500/1 000 (1 500)";15;-3;"CC";"12 (1200)";"20 mmS";"-5 (1)";"Arme lourde";;;;;;;;
"Armes";"Armes de poing";"ANG 200";"C’est le pistolet standard des agents du Neptune. Il est extrêmement discret et léger. Il est fait dans un alliage spécial et est indétectable par la plupart des systèmes de contrôle.";3400;"0,3 kg";"II";"Gladius";;;;"Culte du trident";"2D10+1";;"3/15/30/60 (90)";10;;"CC";"45 (135)";"3 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Exiss Delta";"L’Exiss Delta est l’arme standard des agents hégémoniens. Petit et léger, on peut facilement le dissimuler sous une tunique. Il est constitué d’une matière non-métallique. Cette arme est inutilisable sous l’eau. Elle utilise des balles de calibre 3 mm.";1100;"0,4 kg";"II";"Vortex";;;;"Hégémonie";"2D10+1";;"2/10/20/40 (60)";"-";;"CC";"45 (130)";"3 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Slington Sp.";"Pistolet standard des agents de la Ligue. C’est un pistolet non métallique qui peut être dissimulé très facilement. Il utilise des munitions de 3 mm.";2800;"0,3 kg";"II";"Véga";;;;"Ligue rouge";"2D10";;"3/15/30/60 (90)";8;;"CC";"45 (145)";"3 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Armes à supercavitation";"Hellion Alpha";"L’Hellion Alpha est l’arme à supercavitation légère la plus répandue. Elle utilise des projectiles de 4 mms. Pénétration : 24 (H)/2 (V-)/1 (V+).";900;"1,1 kg";"III";"E.L.N.";;;;"Indépendant";"3D10+1/1D6-3 (V-)";;"2/10/20/40 (60)";"-";;"CC";"30 (250)";"4 mmS";"5 (10)";"Armes de poing";;;;;;;;
"Armes";"Armes à supercavitation";"Hellion Alpha II";"Cette nouvelle version utilise des projectiles de 4,5 mmS. Pénétration : 25 (H)/3 (V-)/1 (V+).";1200;"1,1 kg";"III";"E.L.N.";;;;"Indépendant ?";"3D10+2/1D6-3 (V-)";;"2/10/20/40 (60)";"-";;"CC";"30 (250)";"4,5 mmS";"5 (10)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Vega Ultra";"Pistolet standard de l’armée de la Ligue. Il utilise des munitions de 10,92 mm (calibre .44).";2200;"1,9 kg";"II";"Véga";;;;"Ligue rouge";"3D10+1";;"4/20/40/80 (120)";12;;"CC";"10 (100)";"10,92 mm";"10 (15)";"Armes de jet";;;;;;;;
"Armes";"Arme d'épaule";"Breather";"Ce fusil d’assaut très compact était autrefois utilisé par la confrérie des Veilleurs. On le retrouve aujourd’hui au marché noir.";3800;"3,8 kg";"II";"Gladius";;;;"Culte du trident";"4D10";;"16/80/160/320 (480)";13;-2;"CC/RC/RL";"25 (140)";"5,45 mm";"0(15)";"Fusil/Armes d'épaules
Tir automatiques *";;;;;;;;
"Armes";"Armes de poing";"Neuman";"Pistolet léger très répandu et particulièrement fiable, le Neuman est un autre succès de la firme Glenn et Prescot.";800;"0,5 kg";"II";"Glenn et Prescot";;;;"Enderby";"2D10+3";;"2/10/20/40 (60)";10;;"CC";"25 (136)";"5,45 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Peclinor";"Pistolet léger de la firme Norston, ce pistolet n’a jamais réussi à vraiment concurrencer le Neuman.";1200;"0,8 kg";"II";"Norston Ind.";;;;"Indépendant";"2D10+3";;"2/10/20/40 (60)";10;;"CC";"25 (136)";"5,45 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Arme d'épaule";"AX 56";"C’est le fusil d’assaut standard de l’armée hégémonienne qui utilise des munitions de 5,56 mm.";5800;"3,8 kg";"II";"Vortex";;;;"Hégémonie";"4D10";;"10/50/100/200 (300)";12;-1;"CC/RC/RL";"30 (170)";"5,56 mm";"1(5)";"Fusil/Armes d'épaules
Tir automatiques *";;;;;;;;
"Armes";"Arme d'épaule";"Dela ZE";"C’est le fusil standard de l’armée hégémonienne qui utilise des munitions de 5,56 mm.";2400;"4 kg";"II";"Hadès";;;;"Hégémonie";"4D10";;"10/50/100/200 (300)";10;-3;"CC";"10 (60)";"5,56 mm";"1(5)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme d'épaule";"FAV 34";"C’est le fusil d’assaut standard des Veilleurs.";3600;"3,6 kg";"II";"Gladius";;;;"Veilleurs";"4D10";;"14/70/140/280 (420)";13;-3;"CC/RC/RL";"30 (170)";"5,56 mm";"8(10)";"Fusil/Armes d'épaules
Tir automatiques *";;;;;;;;
"Armes";"Arme d'épaule";"Kevler";"La mini-mitrailleuse légère Kevler équipait autrefois l’armée de la Ligue Rouge. C’est une arme fiable mais qui a tendance à manquer de stabilité.";7200;"7 kg";"II";"Véga";;;;"Ligue rouge";"4D10";;"30/150/300/600 (900)";16;-5;"RL";"200 (1120)";"5,56 mm";"1(5)";"Tir automatiques *";;;;;;;;
"Armes";"Arme d'épaule";"MASS 64";"Fusil d’assaut standard des troupes de la Ligue. Souvent équipé d’un lance-grenades Sinac d’une capacité de 6 coups. Il utilise des munitions de 5,56 mm.";6500;"3,9 kg";"II";"Véga";;;;"Ligue rouge";"4D10";;"10/50/100/200 (300)";12;-3;"CC/RC/RL";"30 (170)";"5,56 mm";"5(10)";"Fusil/Armes d'épaules
Tir automatiques *";;;;;;;;
"Armes";"Arme d'épaule";"Morgan EX";"Fusil d’assaut de l’armée de la Ligue. Il est généralement équipé d’une lunette de visée électronique calculant automatiquement la distance entre le tireur et sa cible. Le dispositif octroie un bonus de +2 aux tests. Il utilise des munitions de 5,56 mm.";1250;"3,5 kg";"II";"Véga";;;;"Ligue rouge";"4D10";;"14/70/140/280 (420)";10;-3;"CC";"30 (170)";"5,56 mm";"10(15)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme d'épaule";"Scorpion Ultra";"C’est le fusil d’assaut standard des Assassins des Patriarches qui utilise des munitions de 5,56 mm.";7000;"3 kg";"II";"Inconnu";;;;"Hégémonie";"4D10";;"10/50/100/200 (300)";11;-2;"CC/RC/RL";"30 (170)";"5,56 mm";"5(1)";"Fusil/Armes d'épaules
Tir automatiques *";;;;;;;;
"Armes";"Arme lourde";"Mini-canon rotatif";"Mini-canon rotatif (multi-fûts) : l’Alliance Polaire en a développé des versions plus légères ; tir de saturation comparable aux Gatling.";28745;"13 kg";"II";"Karak Ind.";;;;"Alliance Polaire";"4D10 (H)";;"16/80/160/320 (480)";14;-1;"RL";"300 (1670)";"5,56 mm";"-10(-5)";"Arme lourde";;;;;;;;
"Armes";"Armes à supercavitation";"Cougar 125";"Une arme de poing lourde à supercavitation plus performante que l’Hellion Alpha II avec des munitions de plus gros calibre. Pénétration : 35 (H)/4 (V-)/2 (V+).";2000;"2,1 kg";"III";"E.L.N.";;;;"Indépendant";"3D10+3/1D6-3 (V-)";;"3/15/30/60 (90)";10;;"CC";"20 (800)";"5,56 mmS";"1 (5)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Scorpion";"Ce pistolet très léger est l’arme de poing standard des Assassins. Il est fait dans une matière non-métallique. De plus, il est très discret et sa puissance de feu est équivalente à celle d’un pistolet plus imposant. Cette arme est inutilisable sous l’eau. Il utilise des munitions de 6,9 mm spéciales équivalentes à des munitions de 9 mm.";7000;"0,5 kg";"IV";"Inconnu";;;;"Hégémonie";"3D10";;"2/10/20/40 (60)";8;;"CC";"24 (312)";"9 mm";"-15 (1)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"MK28";"C’est le pistolet standard des Veilleurs.";1100;"1,5 kg";"II";"Gladius";;;;"Culte du trident";"2D10+4";;"4/20/40/80 (120)";11;;"CC";"17 (119)";"7 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Norston";"Concurrent direct du Mc Glenn, le Norston est une arme un peu plus légère, également très appréciée des civils.";900;"1 kg";"II";"Norston Ind.";;;;"Indépendant";"2D10+4";;"5/15/30/60 (90)";12;;"CC";"17 (119)";"7 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Ozer 43";"C’est le pistolet standard des forces de sécurité. C’est un pistolet de taille moyenne. Cette arme est inutilisable sous l’eau.";1400;"1,6 kg";"II";"Vortex";;;;"Hégémonie";"2D10+4";;"3/7/14/28 (42)";13;;"CC";"17 (119)";"7 mm";"5 (10)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Vega python";"Pistolet standard des forces de sécurité de la Ligue. Il utilise des munitions de 7 mm.";1100;"1,4 kg";"II";"Véga";;;;"Ligue rouge";"2D10+4";;"2/10/20/40 (60)";10;;"CC";"17 (119)";"7 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Arme d'épaule";"Cougar";"Le Cougar est une arme utilisée par les tireurs d’élite, qui cumule les avantages d’une arme mémoire et de projectiles Vulcain autopropulsés, capables d’enregistrer la signature thermique d’une cible. Non seulement l’ordinateur est capable d’identifier ses cibles mais, en plus, même si celles-ci bougent, le projectile filera droit sur elles. Le fusil est assez lourd pour une arme de précision mais son tir est très silencieux. La cible est enregistrée par la mémoire de l’arme en 1 Tour de combat, pour un bonus au tir de +2. Il faut un autre Tour de combat pour que le projectile enregistre la signature thermique pour un bonus de +3, cumulable à celui de la mémoire. Si la cible bouge hors du périmètre défini par l’arme mémoire, le tireur ne bénéficie que du bonus du projectile. Si la cible n’est plus en vue mais que sa signature thermique a été enregistrée, le tireur peut tout de même l’atteindre mais ses chances de réussite sont égales au bonus du projectile (3).";19000;"6 kg";"II";"Meta";;;;"Union Médit.";"4D10+3";;"50/200/400/800 (1 200)";15;;"CC";"10 (1100)";"7,62 mm";"1(5)";"Tir de précision *";;;;;;;;
"Armes";"Arme d'épaule";"FAV 76";"C’est le fusil d’assaut lourd standard des Veilleurs.";4200;"4,2 kg";"II";"Gladius";;;;"Veilleurs";"4D10+3";;"20/100/200/400 (600)";13;-3;"CC/RC/RL";"30 (450)";"7,62 mm";"8(10)";"Fusil/Armes d'épaules
Tir automatiques *";;;;;;;;
"Armes";"Arme d'épaule";"FV 12 Répliquant";"C’est la mitrailleuse légère standard des Veilleurs.";5600;"11 kg";"II";"Gladius";;;;"Veilleurs";"4D10+3";;"40/200/400/800 (1 200)";14;-4;"RL";"100 (760)";"7,62 mm";"1(5)";"Tir automatiques *";;;;;;;;
"Armes";"Arme d'épaule";"Gem 400";"C’est la mitrailleuse standard de l’armée et des forces de sécurité qui utilise des munitions de 7,62 mm.";6800;"12 kg";"II";"Vortex";;;;"Hégémonie";"4D10+3";;"27/135/270/540 (810)";14;-5;"RL";"100 (760)";"7,62 mm";"1(5)";"Tir automatiques *";;;;;;;;
"Armes";"Arme d'épaule";"Loknar";"Le Loknar ultra est un fusil standard. Les fusils sont rarement utilisés dans le monde sous-marin et ont tendance à disparaître.";2400;"4 kg";"II";"Loknar";;;;"Indépendant";"4D10+3";;"20/100/200/400 (600)";10;-3;"CC";"20 (230)";"7,62 mm";"15(20)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme d'épaule";"Néca II";"C’est le fusil de précision standard des forces de sécurité hégémoniennes. Il est équipé d’une lunette de visée avec option infrarouge. La lunette donne un bonus de +2 aux tests de tir et réduit les portées de 1 cran. L’arme donne un bonus supplémentaire de +1 si le tireur en prend un appui. L’arme utilise des munitions de 7,62 mm.";1250;"3,5 kg";"II";"Véga";;;;"Ligue rouge";"4D10+3";;"50/250/500/1000 (1 500)";14;;"CC";"30 (170)";"7,62 mm";"10(15)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme d'épaule";"Nérid 650";"Fusil de précision particulièrement apprécié des assassins, le Nérid 650 est extrêmement discret. Il se range dans une valise avec tous ses accessoires. C’est une arme légère et peu encombrante, équipée d’un viseur électronique et d’un calculateur de tir automatique. Le calculateur confère à l’utilisateur un bonus de +3 à son tir. L’arme est totalement silencieuse.";7400;"5,3 kg";"II";"Nérid";;;;"Indépendant";"4D10+3";;"40/150/300/600 (1 000)";13;;"CC";"10 (600)";"7,62 mm";"5(10)";"Tir de précision *";;;;;;;;
"Armes";"Arme d'épaule";"Slice Mod II";"Fusil standard des forces de sécurité de la Ligue. Il utilise des munitions de 7,62 mm.";900;"4 kg";"II";"Véga";;;;"Ligue rouge";"4D10+3";;"20/100/200/400 (600)";10;-2;"CC";"20 (230)";"7,62 mm";"10(15)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme d'épaule";"Sniper NZC";"Le fusil de précision Sniper NZC est équipé d’une lunette classique. Il est démontable et peut être rangé dans une valise avec tous ses accessoires.";12000;"7 kg";"II";"Nazca Ind.";;;;"Ligue Rouge";"4D10+3";;"50/200/400/800 (1 200)";13;;"CC";"10 (900)";"7,62 mm";"5(10)";"Tir de précision *";;;;;;;;
"Armes";"Arme d'épaule";"Ten DS";"C’est le fusil standard des forces de sécurité hégémoniennes qui utilise des munitions de 7,62 mm.";1800;"4 kg";"II";"Hadès";;;;"Hégémonie";"4D10+3";;"9/45/90/180 (270)";10;-3;"CC";"20 (230)";"7,62 mm";"5(10)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme lourde";"Fusil Gauss";"Fusil électromagnétique (Gauss) de précision : tire des sous-munitions à très haute vitesse, avec une puissance et une pénétration exceptionnelles.";15722;"17,6 kg";"IV";"Meta";;;;"Union médit.";"7D10+2 (H) / 1D6 (V-)";;"70/350/700/1400 (2 100)";12;;"CC";"30 (54)";"7,62 mm";"-15(-5)";"Arme lourde";;;;;;;;
"Armes";"Armes à supercavitation";"Beldam II";"C’est un dispositif d’assaut sous-marin tirant des projectiles de 7,62 mms. Pénétration : 29 (H)/3 (V-)/2 (V+).";9000;"6 kg";"III";"E.L.N.";;;;"Indépendant";"3D10+5/1D6-3 (V-)";;"8/40/80/160 (240)";13;-3;"CC/RC/RL";"30 (1200)";"7,62 mmS";"1 (5)";"Fusil/Armes d'épaules
Tir automatiques *";;;;;;;;
"Armes";"Armes de poing";"Mc Glenn";"Ce pistolet moyen très populaire est le plus utilisé dans les bas-fonds.";1100;"1,1 kg";"II";"Glenn et Prescot";;;;"Enderby";"2D10+5";;"3/15/30/60 (90)";12;;"CC";"16 (122)";"7,65 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Armes de poing";"Paloma";"Le Paloma est un petit pistolet mitrailleur extrêmement discret utilisant des balles de calibre 7,7 mm équivalentes à des balles de calibre 9 mm. La Ligue serait sur le point de fabriquer le Paloma II, une arme dotée d’une plus grande puissance de feu.";2700;"1,7 kg";"III";"Véga";;;;"Ligue rouge";"3D10+1";;"6/30/60/120 (180)";"-";;"CC/RC/RL";"35 (500)";"9 mm";"-10 (-5)";"Armes de poing
Tir automatiques *";;;;;;;;
